"","SABL_PWSID","COUNTY"
"1","CA1100445","GLENN  "
"2","CA5201140","TEHAMA  "
"3","CA1910234","LOS ANGELES  "
"4","CA3710047","SAN DIEGO  "
"5","CA1500452","KERN  "
"6","CA4400692","SANTA CRUZ  "
"7","CA3301943","RIVERSIDE  "
"8","CA3710037","SAN DIEGO  "
"9","CA4810026","SOLANO  "
"10","CA0310005","AMADOR  "
"11","CA1210007","HUMBOLDT  "
"12","CA3310017","RIVERSIDE  "
"13","CA1400037","INYO  "
"14","CA3700041","SAN DIEGO  "
"15","CA3910020","SAN JOAQUIN  "
"16","CA3900927","SAN JOAQUIN  "
"17","CA3900586","SAN JOAQUIN  "
"18","CA5200534","TEHAMA  "
"19","CA3010079","ORANGE  "
"20","CA2300606","MENDOCINO  "
"21","CA2810007","NAPA  "
"22","CA5800823","YUBA  "
"23","CA4400604","SANTA CRUZ  "
"24","CA4400526","SANTA CRUZ  "
"25","CA2700970","MONTEREY  "
"26","CA5800832","YUBA  "
"27","CA3600399","SAN BERNARDINO  "
"28","CA3400179","SACRAMENTO  "
"29","CA1500485","KERN  "
"30","CA3010068","ORANGE  "
"31","CA3600087","SAN BERNARDINO  "
"32","CA5000071","STANISLAUS  "
"33","CA1910194","LOS ANGELES  "
"34","CA5400744","TULARE  "
"35","CA0707523","CONTRA COSTA  "
"36","CA5210002","TEHAMA  "
"37","CA2900502","NEVADA  "
"38","CA4410016","SANTA CRUZ  "
"39","CA1010062","FRESNO  "
"40","CA4400611","SANTA CRUZ  "
"41","CA5602108","VENTURA  "
"42","CA3100528","PLACER  "
"43","CA5200535","TEHAMA  "
"44","CA1210019","HUMBOLDT  "
"45","CA0400008","BUTTE  "
"46","CA3900596","SAN JOAQUIN  "
"47","CA5000060","STANISLAUS  "
"48","CA5010010","STANISLAUS  "
"49","CA2702405","MONTEREY  "
"50","CA4700542","SISKIYOU  "
"51","CA1910158","LOS ANGELES  "
"52","CA3900606","SAN JOAQUIN  "
"53","CA1800512","LASSEN  "
"54","CA1110001","GLENN  "
"55","CA3600064","SAN BERNARDINO  "
"56","CA4810011","SOLANO  "
"57","CA4010027","SAN LUIS OBISPO  "
"58","CA4700521","SISKIYOU  "
"59","CA4400558","SANTA CRUZ  "
