SABL_PWSID,COUNTY,COUNTY_FIXED
CA0103040,ALAMEDA  ,ALAMEDA
CA0105008,ALAMEDA  ,ALAMEDA
CA0110006,ALAMEDA  ,ALAMEDA
CA0110008,ALAMEDA  ,ALAMEDA
CA0110003,ALAMEDA  ,ALAMEDA
CA0103041,ALAMEDA  ,ALAMEDA
CA0110005,ALAMEDA  ,ALAMEDA
CA0110012,ALAMEDA  ,ALAMEDA
CA0110016,ALAMEDA  ,ALAMEDA
CA0110009,ALAMEDA  ,ALAMEDA
CA0110011,ALAMEDA  ,ALAMEDA
CA0110001,ALAMEDA  ,ALAMEDA
CA0210002,ALPINE  ,AlPINE
CA0202522,ALPINE  ,AlPINE
CA0210001,ALPINE  ,AlPINE
CA0202503,ALPINE  ,AlPINE
CA0202504,ALPINE  ,AlPINE
CA0310005,AMADOR  ,AMADOR
CA0300011,AMADOR  ,AMADOR
CA0310004,AMADOR  ,AMADOR
CA0310021,AMADOR  ,AMADOR
CA0310019,AMADOR  ,AMADOR
CA0300019,AMADOR  ,AMADOR
CA0310006,AMADOR  ,AMADOR
CA0300024,AMADOR  ,AMADOR
CA0300053,AMADOR  ,AMADOR
CA0310011,AMADOR  ,AMADOR
CA0310008,AMADOR  ,AMADOR
CA0310012,AMADOR  ,AMADOR
CA0310001,AMADOR  ,AMADOR
CA0300010,AMADOR  ,AMADOR
CA0310003,AMADOR  ,AMADOR
CA0300016,AMADOR  ,AMADOR
CA0310018,AMADOR  ,AMADOR
CA0310002,AMADOR  ,AMADOR
CA0300037,AMADOR  ,AMADOR
CA0400008,BUTTE  ,BUTTE
CA0400027,BUTTE  ,BUTTE
CA0400023,BUTTE  ,BUTTE
CA0400123,BUTTE  ,BUTTE
CA0400090,BUTTE  ,BUTTE
CA0400003,BUTTE  ,BUTTE
CA0400026,BUTTE  ,BUTTE
CA0400016,BUTTE  ,BUTTE
CA0410018,BUTTE  ,BUTTE
CA0409181,BUTTE  ,BUTTE
CA0400004,BUTTE  ,BUTTE
CA0400014,BUTTE  ,BUTTE
CA0409183,BUTTE  ,BUTTE
CA0410008,BUTTE  ,BUTTE
CA0400013,BUTTE  ,BUTTE
CA0410005,BUTTE  ,BUTTE
CA0400078,BUTTE  ,BUTTE
CA0410003,BUTTE  ,BUTTE
CA0410004,BUTTE  ,BUTTE
CA0400040,BUTTE  ,BUTTE
CA0400030,BUTTE  ,BUTTE
CA0400042,BUTTE  ,BUTTE
CA0400020,BUTTE  ,BUTTE
CA0410007,BUTTE  ,BUTTE
CA0400051,BUTTE  ,BUTTE
CA0400151,BUTTE  ,BUTTE
CA0400007,BUTTE  ,BUTTE
CA0410009,BUTTE  ,BUTTE
CA0410011,BUTTE  ,BUTTE
CA0400149,BUTTE  ,BUTTE
CA0410002,BUTTE  ,BUTTE
CA0400021,BUTTE  ,BUTTE
CA0400019,BUTTE  ,BUTTE
CA0400155,BUTTE  ,BUTTE
CA0405001,BUTTE  ,BUTTE
CA0400091,BUTTE  ,BUTTE
CA0410001,BUTTE  ,BUTTE
CA0510009,CALAVERAS  ,CALAVERAS
CA0500068,CALAVERAS  ,CALAVERAS
CA0510011,CALAVERAS  ,CALAVERAS
CA0500075,CALAVERAS  ,CALAVERAS
CA0510004,CALAVERAS  ,CALAVERAS
CA0510005,CALAVERAS  ,CALAVERAS
CA0510016,CALAVERAS  ,CALAVERAS
CA0510001,CALAVERAS  ,CALAVERAS
CA0510010,CALAVERAS  ,CALAVERAS
CA0510012,CALAVERAS  ,CALAVERAS
CA0510002,CALAVERAS  ,CALAVERAS
CA0510003,CALAVERAS  ,CALAVERAS
CA0500019,CALAVERAS  ,CALAVERAS
CA0500027,CALAVERAS  ,CALAVERAS
CA0510019,CALAVERAS  ,CALAVERAS
CA0510006,CALAVERAS  ,CALAVERAS
CA0510017,CALAVERAS  ,CALAVERAS
CA0610004,COLUSA  ,COLUSA
CA0610001,COLUSA  ,COLUSA
CA0605011,COLUSA  ,COLUSA
CA0600013,COLUSA  ,COLUSA
CA0600008,COLUSA  ,COLUSA
CA0610002,COLUSA  ,COLUSA
CA0600005,COLUSA  ,COLUSA
CA0610003,COLUSA  ,COLUSA
CA0600012,COLUSA  ,COLUSA
CA0707523,CONTRA COSTA  ,CONTRA COSTA
CA0710009,CONTRA COSTA  ,CONTRA COSTA
CA0707577,CONTRA COSTA  ,CONTRA COSTA
CA0710001,CONTRA COSTA  ,CONTRA COSTA
CA0707573,CONTRA COSTA  ,CONTRA COSTA
CA0707576,CONTRA COSTA  ,CONTRA COSTA
CA0707547,CONTRA COSTA  ,CONTRA COSTA
CA0710007,CONTRA COSTA  ,CONTRA COSTA
CA0707597,CONTRA COSTA  ,CONTRA COSTA
CA0707569,CONTRA COSTA  ,CONTRA COSTA
CA0710004,CONTRA COSTA  ,CONTRA COSTA
CA0710006,CONTRA COSTA  ,CONTRA COSTA
CA0710003,CONTRA COSTA  ,CONTRA COSTA
CA0707556,CONTRA COSTA  ,CONTRA COSTA
CA0706005,CONTRA COSTA  ,CONTRA COSTA
CA0707501,CONTRA COSTA  ,CONTRA COSTA
CA0706004,CONTRA COSTA  ,CONTRA COSTA
CA0707517,CONTRA COSTA  ,CONTRA COSTA
CA0707615,CONTRA COSTA  ,CONTRA COSTA
CA0707507,CONTRA COSTA  ,CONTRA COSTA
CA0707603,CONTRA COSTA  ,CONTRA COSTA
CA0707588,CONTRA COSTA  ,CONTRA COSTA
CA0707598,CONTRA COSTA  ,CONTRA COSTA
CA0707575,CONTRA COSTA  ,CONTRA COSTA
CA0707613,CONTRA COSTA  ,CONTRA COSTA
CA0707585,CONTRA COSTA  ,CONTRA COSTA
CA0707589,CONTRA COSTA  ,CONTRA COSTA
CA0707572,CONTRA COSTA  ,CONTRA COSTA
CA0710008,CONTRA COSTA  ,CONTRA COSTA
CA0707553,CONTRA COSTA  ,CONTRA COSTA
CA0707601,CONTRA COSTA  ,CONTRA COSTA
CA0707608,CONTRA COSTA  ,CONTRA COSTA
CA0710002,CONTRA COSTA  ,CONTRA COSTA
CA0800603,DEL NORTE  ,DEL NORTE
CA0800526,DEL NORTE  ,DEL NORTE
CA0810002,DEL NORTE  ,DEL NORTE
CA0810001,DEL NORTE  ,DEL NORTE
CA0800700,DEL NORTE  ,DEL NORTE
CA0800552,DEL NORTE  ,DEL NORTE
CA0810003,DEL NORTE  ,DEL NORTE
CA0800532,DEL NORTE  ,DEL NORTE
CA0800548,DEL NORTE  ,DEL NORTE
CA0800825,DEL NORTE  ,DEL NORTE
CA0800555,DEL NORTE  ,DEL NORTE
CA0800605,DEL NORTE  ,DEL NORTE
CA0800800,DEL NORTE  ,DEL NORTE
CA0800556,DEL NORTE  ,DEL NORTE
CA0800557,DEL NORTE  ,DEL NORTE
CA0910013,EL DORADO  ,EL DORADO
CA0910002,EL DORADO  ,EL DORADO
CA0900112,EL DORADO  ,EL DORADO
CA0900422,EL DORADO  ,EL DORADO
CA0910007,EL DORADO  ,EL DORADO
CA0910012,EL DORADO  ,EL DORADO
