"","PWSID","PWS_Name","Primacy_FINAL","Final_inst_update","Inst_Subtype","Residential","public","enfranchisement","Variablecoded","enfranchisement_final","Changed_enfranchisement.","SERVICE_CONNECTIONS","POPULATION","MHI","CALENVIRO_SCREEN_SCORE","FINAL_SAFER_STATUS","HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE","FUNDING_RECEIVED_SINCE_2017","PRIMARY_MCL_VIOLATION","SECONDARY_MCL_VIOLATION","E_COLI_VIOLATION","TREATMENT_TECHNIQUE_VIOLATION","MONITORING_AND_REPORTING_VIOLATION","HISTORY_OF_E_COLI_PRESENCE_RISK_LEVEL","TREATMENT_TECHNIUQE_VIOLATIONS_RISK_LEVEL","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RISK_LEVEL","CONSTITUENTS_OF_EMERGING_CONCERN_RISK_LEVEL","NUMBER_OF_WATER_SOURCES_RISK_LEVEL","ABESENCE_OF_INTERTIES_RISK_LEVEL","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RISK_LEVEL","SOURCE_CAPACITY_VIOLATION_RISK_LEVEL","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL","EXTREME_WATER_BILL_RISK_LEVEL","OPERATOR_CERTIFICATION_VIOLATIONS_RISK_LEVEL","MONITORING_AND_REPORTING_VIOLATIONS_RISK_LEVEL","DAYS_CASH_ON_HAND_RISK_LEVEL","OPERATING_RATIO_RISK_LEVEL","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_THRESHOLD_MET","Intend.to.apply.","Application.complete.","Type","Principal.County.Served","Primary.Source.Water.Type","Source","Purchased","LN_POP","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL_BI","EXTREME_WATER_BILL_RISK_LEVEL_BI","FUNDING_any","FUNDING_any_failingoratriskonly","NUMBER_OF_WATER_SOURCES_RISK_LEVEL_BI","hasnotreceivedfunding","didnotapplycovid","SC3i_Count_Distribution","Service_disruptions","Affordability_combined_count","Affordability_combined_any","Accessibility_combined_count","Accessibility_combined_any","WQ_combined_count","WQ_combined_any","FAILING","MHI_KD","Percent.hispanicorlatino","Percent.white","Percent.black","Percent.asian","Percent.renter"
"1","CA4110005","GUADALUPE VALLEY MID","DISTRICT 17 - SANTA CLARA","Special Act District","City","Yes","Yes","Variable","Full","Full",NA,746,1472,162241.8285,27.98570281,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","Less than 1.5%","Yes","Yes","C","SAN MATEO  ","SWP","SW","Purchased",7.29505641646263,"2","2","No",NA,"NONE",NA,"1","0","No","0","0","0","0","0","0","Not failing",168908.2422322,10.6315734301451,24.5076080803633,0.111268724606033,61.8047135443409,25.1400805968826
"2","CA4310022","GREAT OAKS WC INC","DISTRICT 17 - SANTA CLARA","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,21418,110088,125737.5406,15.81646848,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","SANTA CLARA  ","GW","GW","Self-produced",11.609044408546,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140284.137003413,32.2928068874328,27.8132971875337,3.08054813030496,31.171900779563,35.6910787921597
"3","CA4310011","SAN JOSE WATER","DISTRICT 17 - SANTA CLARA","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,222941,1010207,148614.3256,15.68822506,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","SANTA CLARA  ","SW","SW","Self-produced",13.8256668082086,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6630712009606,28.1278309415206,2.59542834188444,34.91168682994,43.3873606595498
"4","CA1910039","SAN GABRIEL VALLEY WATER CO.-EL MONTE","DISTRICT 22 - ANGELES","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,46608,246000,85372.18785,47.39540747,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","LOS ANGELES  ","GW","GW","Self-produced",12.4130908799469,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.8372670811793,5.55317437266653,0.834807384071265,25.48569397886,41.4001485535581
"5","CA1910189","SAN GABRIEL VALLEY WATER CO.-MONTEBELLO","DISTRICT 22 - ANGELES","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,1570,9300,92620.04072,42.83690618,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Less than 1.5%","Yes","Yes","C","LOS ANGELES  ","GWP","GW","Purchased",9.13787720024247,"2","2","No",NA,"NONE",NA,"1",NA,NA,"0","0","0","0","0","0","Not failing",104662.741648304,56.5667170767959,10.3794875216873,0.226747775741414,32.0719281800935,19.2950997009955
"6","CA3610041","SAN GABRIEL VALLEY WC - FONTANA","DISTRICT 27 - MOJAVE","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,47234,237600,87816.35776,39.72413266,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","SAN BERNARDINO  ","SW","SW","Self-produced",12.378348075216,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.7385555243722,11.2360344011977,6.7501215991082,5.39199730852398,37.7880702828901
"7","CA1910052","CAL/AM WATER COMPANY - BALDWIN HILLS","DISTRICT 07 - HOLLYWOOD","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,6194,20859,127374.5827,28.8250265,"Not At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE",NA,"NONE","Less than 1.5%","Yes","Yes","C","LOS ANGELES  ","SWP","SW","Purchased",9.94558872855476,"2","2","No",NA,"NONE",NA,"1",NA,NA,"0","0","0","0","0","0","Not failing",NA,7.73180069400344,11.3509839908292,69.5202029774348,3.781542781124,32.0598362175736
"8","CA1910139","CAL/AM WATER COMPANY - SAN MARINO","DISTRICT 07 - HOLLYWOOD","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,14280,47124,106373.7854,26.9479984,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","UNKNOWN","Yes","Yes","C","LOS ANGELES  ","SWP","SW","Purchased",10.7605589247503,NA,NA,"No",NA,"NONE",NA,"1",NA,NA,NA,NA,"0","0","0","0","Not failing",NA,28.0530847031729,13.4100813954195,0.958869726035225,54.5858532388063,39.4475478853993
"9","CA1910186","CAL-AM WATER COMPANY - DUARTE","DISTRICT 07 - HOLLYWOOD","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,7351,24258,97847.524,33.33480191,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE",NA,"NONE","Less than 1.5%","Yes","Yes","C","LOS ANGELES  ","GW","GW","Self-produced",10.0965429615331,"2","2","No",NA,"NONE",NA,"1",NA,NA,"0","0","0","0","0","0","Not failing",96433.8087951902,56.3445561277216,19.5393508831927,5.33083311789854,15.5533868078563,39.2190084725347
"10","CA1910020","CAL-AM WATER COMPANY - EAST PASADENA","DISTRICT 22 - ANGELES","Investor Owned Utility","Class A","Yes","No","None",NA,"None","No",2984,9949,86029.29154,21.28284422,"Failing",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE",NA,"NONE","Less than 1.5%","Yes","Yes","C","LOS ANGELES  ","GW","GW","Self-produced",9.20532783015264,"2","2","No","No","NONE","Yes","1","3","Yes","0","0","2","1","0","0","Failing",NA,18.0152183569699,21.5971125940991,2.16677459183268,54.071520278168,51.1925676737703
