"","PWSID","PWS_Name","Primacy_FINAL","Final_inst_update","Inst_Subtype","Residential","public","enfranchisement","Variablecoded","enfranchisement_final","Changed_enfranchisement.","SERVICE_CONNECTIONS","POPULATION","MHI","CALENVIRO_SCREEN_SCORE","FINAL_SAFER_STATUS","HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE","FUNDING_RECEIVED_SINCE_2017","PRIMARY_MCL_VIOLATION","SECONDARY_MCL_VIOLATION","E_COLI_VIOLATION","TREATMENT_TECHNIQUE_VIOLATION","MONITORING_AND_REPORTING_VIOLATION","HISTORY_OF_E_COLI_PRESENCE_RISK_LEVEL","TREATMENT_TECHNIUQE_VIOLATIONS_RISK_LEVEL","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RISK_LEVEL","CONSTITUENTS_OF_EMERGING_CONCERN_RISK_LEVEL","NUMBER_OF_WATER_SOURCES_RISK_LEVEL","ABESENCE_OF_INTERTIES_RISK_LEVEL","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RISK_LEVEL","SOURCE_CAPACITY_VIOLATION_RISK_LEVEL","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL","EXTREME_WATER_BILL_RISK_LEVEL","OPERATOR_CERTIFICATION_VIOLATIONS_RISK_LEVEL","MONITORING_AND_REPORTING_VIOLATIONS_RISK_LEVEL","DAYS_CASH_ON_HAND_RISK_LEVEL","OPERATING_RATIO_RISK_LEVEL","Intend.to.apply.","Application.complete.","Type","Principal.County.Served","Primary.Source.Water.Type","Source","Purchased","LN_POP","CONSTITUENTS_OF_EMERGING_CONCERN_RISK_LEVEL_BI","NUMBER_OF_WATER_SOURCES_RISK_LEVEL_BI","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL_BI","EXTREME_WATER_BILL_RISK_LEVEL_BI","FUNDING_any","FUNDING_any_failingoratriskonly","hasnotreceivedfunding","didnotapplycovid","TMF_combined_count","TMF_combined_any","Affordability_combined_count","Affordability_combined_any","Accessibility_combined_count","Accessibility_combined_any","WQ_combined_count","WQ_combined_any"
"1","CA4110005","GUADALUPE VALLEY MID","DISTRICT 17 - SANTA CLARA","Special Act District","City","Yes","Yes","Variable","Full","Full",NA,746,1472,162241.8285,27.98570281,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","Yes","Yes","C","SAN MATEO  ","SWP","SW","Purchased",7.29505641646263,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"2","CA4310022","GREAT OAKS WC INC","DISTRICT 17 - SANTA CLARA","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,21418,110088,125737.5406,15.81646848,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","SANTA CLARA  ","GW","GW","Self-produced",11.609044408546,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA
"3","CA4310011","SAN JOSE WATER","DISTRICT 17 - SANTA CLARA","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,222941,1010207,148614.3256,15.68822506,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","SANTA CLARA  ","SW","SW","Self-produced",13.8256668082086,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA
"4","CA1910039","SAN GABRIEL VALLEY WATER CO.-EL MONTE","DISTRICT 22 - ANGELES","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,46608,246000,85372.18785,47.39540747,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","LOS ANGELES  ","GW","GW","Self-produced",12.4130908799469,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA
"5","CA1910189","SAN GABRIEL VALLEY WATER CO.-MONTEBELLO","DISTRICT 22 - ANGELES","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,1570,9300,92620.04072,42.83690618,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","LOS ANGELES  ","GWP","GW","Purchased",9.13787720024247,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"6","CA3610041","SAN GABRIEL VALLEY WC - FONTANA","DISTRICT 27 - MOJAVE","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,47234,237600,87816.35776,39.72413266,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","SAN BERNARDINO  ","SW","SW","Self-produced",12.378348075216,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA
"7","CA1910052","CAL/AM WATER COMPANY - BALDWIN HILLS","DISTRICT 07 - HOLLYWOOD","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,6194,20859,127374.5827,28.8250265,"Not At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE",NA,"NONE","Yes","Yes","C","LOS ANGELES  ","SWP","SW","Purchased",9.94558872855476,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"8","CA1910139","CAL/AM WATER COMPANY - SAN MARINO","DISTRICT 07 - HOLLYWOOD","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,14280,47124,106373.7854,26.9479984,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","Yes","Yes","C","LOS ANGELES  ","SWP","SW","Purchased",10.7605589247503,"HIGH","NONE","HIGH","HIGH","No",NA,NA,"No","0","0","2","1","0","0","0","0"
"9","CA1910186","CAL-AM WATER COMPANY - DUARTE","DISTRICT 07 - HOLLYWOOD","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,7351,24258,97847.524,33.33480191,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE",NA,"NONE","Yes","Yes","C","LOS ANGELES  ","GW","GW","Self-produced",10.0965429615331,"HIGH","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"10","CA1910020","CAL-AM WATER COMPANY - EAST PASADENA","DISTRICT 22 - ANGELES","Investor Owned Utility","Class A","Yes","No","None",NA,"None","No",2984,9949,86029.29154,21.28284422,"Failing",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE",NA,"NONE","Yes","Yes","C","LOS ANGELES  ","GW","GW","Self-produced",9.20532783015264,"HIGH","NONE","NONE","NONE","No","No","Yes","No","0","0","0","0","0","0","0","0"
