Water System No.,Water System Name,Type,Distribution System Class,Max Treatment Plant Class,Principal County Served,Primary Source Water Type
CA0103040,NORRIS CANYON PROPERTY OWNERS ASSN,C,D1,There are no treatment plants,ALAMEDA  ,GW
CA0103041,TRAILER HAVEN MOBILE HOME PARK,C,D1,TD,ALAMEDA  ,SWP
CA0105008,CASTLEWOOD DOMESTIC WATER SYSTEM,C,D1,There are no treatment plants,ALAMEDA  ,GWP
CA0110001,ALAMEDA COUNTY WATER DISTRICT,C,D5,T5,ALAMEDA  ,SW
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,C,D5,T2,ALAMEDA  ,SWP
CA0110005,EAST BAY MUD,C,D5,T5,ALAMEDA  ,SW
CA0110006,CITY OF HAYWARD,C,D5,There are no treatment plants,ALAMEDA  ,SWP
CA0110008,CITY OF PLEASANTON,C,D5,T1,ALAMEDA  ,SWP
CA0110009,DUBLIN SAN RAMON SERVICES DISTRICT,C,D5,There are no treatment plants,ALAMEDA  ,SWP
CA0110010,ZONE 7 WATER AGENCY,C,D4,T5,ALAMEDA  ,SW
CA0110011,CITY OF LIVERMORE,C,D4,There are no treatment plants,ALAMEDA  ,SWP
CA0110012,TOWN OF SUNOL - SFPUC,C,D1,There are no treatment plants,ALAMEDA  ,SWP
CA0110016,ALAMEDA POINT,C,D1,There are no treatment plants,ALAMEDA  ,SWP
CA0110018,SFPUC-PLEASANTON WELLS,C,D1,TD,ALAMEDA  ,GW
CA0202503,WOODFORDS MUTUAL WATER COMPANY,C,D1,There are no treatment plants,ALPINE  ,GW
CA0202504,MARKLEEVILLE WATER CO.,C,NR,T2,ALPINE  ,SW
CA0202522,SIERRA PINES MOBILE HOME PARK,C,D1,There are no treatment plants,ALPINE  ,GW
CA0210001,LAKE ALPINE WATER COMPANY,C,D2,T2,ALPINE  ,SW
CA0210002,KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT,C,D2,T1,ALPINE  ,GW
CA0300010,DRYTOWN COUNTY WATER DISTRICT,C,D1,There are no treatment plants,AMADOR  ,SWP
CA0300011,SUTTER PINES MHP,C,D1,T2,AMADOR  ,GU
CA0300016,VOLCANO COMMUNITY SERVICE DIST,C,D1,T2,AMADOR  ,GU
CA0300019,FIDDLETOWN COMMUNITY SERVICE,C,D1,TD,AMADOR  ,GW
CA0300024,FOREST POINT MHC,C,D1,T1,AMADOR  ,GW
CA0300037,JACKSON VALLEY IRRIGATION DISTRICT,C,D1,T3,AMADOR  ,SW
CA0300053,RANCHO DEL ORO MHP,C,D1,TD,AMADOR  ,GW
CA0300062,HOPE FOUNDATION/MORIAH HEIGHTS,C,D1,T1,AMADOR  ,GW
CA0300078,IONE BAND OF MIWOK INDIANS,C,D1,T1,AMADOR  ,GW
CA0310001,CITY OF JACKSON,C,D2,There are no treatment plants,AMADOR  ,SWP
CA0310002,"AWA, IONE",C,D2,T3,AMADOR  ,SW
CA0310003,"AWA, TANNER",C,D3,T3,AMADOR  ,SW
CA0310004,"PLYMOUTH, CITY OF",C,D2,There are no treatment plants,AMADOR  ,SWP
CA0310005,PINE GROVE COMM SERV DIST,C,D1,There are no treatment plants,AMADOR  ,SWP
CA0310006,RIVER PINES PUD,C,D1,T2,AMADOR  ,GW
CA0310008,CAMANCHE NORTH SHORE INC.,C,D2,T2,AMADOR  ,GW
CA0310011,FIRST MACE MEADOW # 1,C,D1,There are no treatment plants,AMADOR  ,SWP
CA0310012,AWA BUCKHORN PLANT,C,D4,T3,AMADOR  ,SW
CA0310018,FIRST MACE MEADOWS UNIT NO. 2,C,D1,There are no treatment plants,AMADOR  ,SWP
CA0310019,AWA LA MEL HEIGHTS #3,C,D1,T1,AMADOR  ,GW
CA0310021,AWA - CAMANCHE VILLAGE,C,D3,TD,AMADOR  ,GW
