PWSID,SYSTEM_NAME,COUNTY,OWNERSHIP_SDWIS,OWNER_CODE_SDWIS,OWNERSHIP_KD,OWNERSHIP_KD_BI,TYPE,TYPE_consolidated,JURISDICTION_9,JURISDICTION_10,SOURCE_SDWIS,Source_coded_18,POP_TOTAL,SC_TOTAL,FEE_CODE_062018,FEE_FULL_062018,CWStype_fed_062018,CWStype_state062018,CWStype_state_name2018,WQ_REG,COMPLIANCE_STATUS,VIOLATION_COUNT,COUNT_TCR,TOTAL_VIOLATIONS, , 
CA0103040,NORRIS CANYON PROPERTY OWNERS ASSN,ALAMEDA,Private,P,Private,Private,PA,PA,PRIVATE- MUT BENEFIT,PRIVATE- MUT BENEFIT,GW,GW,50,19,SC,Small Community,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0103041,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,Private,P,Private,Private,MHP,MHP,MHP,MHP,GW,GW,543,194,SC,Small Community,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0105008,CASTLEWOOD DOMESTIC WATER SYSTEM,ALAMEDA,Local,L,Local,Public,CSA,CSA,COUNTY,COUNTY,GWP,GWP,499,194,SC,Small Community,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0110001,ALAMEDA COUNTY WATER DISTRICT,ALAMEDA,Local,L,Local,Public,County Water District,County Water District,SPECIAL DISTRICT,SPECIAL DISTRICT,SW,SW,340000,80871,C1,Large Water System,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,ALAMEDA,Private,P,Private,Private,IOU,IOU,PRIVATE-IOU,PRIVATE-IOU,SWP,SWP,59000,18109,C1,Large Water System,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0110005,EAST BAY MUD,ALAMEDA,Local,L,Local,Public,MUD,MUD,SPECIAL DISTRICT,SPECIAL DISTRICT,SW,SW,1379750,380450,C1,Large Water System,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0110006,CITY OF HAYWARD,ALAMEDA,Local,L,Local,Public,City,City,CITY,CITY,SWP,SWP,151600,34205,C1,Large Water System,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0110008,CITY OF PLEASANTON,ALAMEDA,Local,L,Local,Public,City,City,CITY,CITY,SWP,SWP,73067,21882,C1,Large Water System,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0110009,DUBLIN SAN RAMON SERVICES DISTRICT,ALAMEDA,Local,L,Local,Public,CSD,CSD,SPECIAL DISTRICT,SPECIAL DISTRICT,SWP,SWP,75924,19011,C1,Large Water System,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0110010,ZONE 7 WATER AGENCY,ALAMEDA,Local,L,Local,Public,Special Act District,Special Act District,SPECIAL DISTRICT,SPECIAL DISTRICT,SW,SW,226840,13,WH,WholesalerÂ Â,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0110011,CITY OF LIVERMORE,ALAMEDA,Local,L,Local,Public,City,City,CITY,CITY,SWP,SWP,27600,9516,C1,Large Water System,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0110012,TOWN OF SUNOL-SFPUC,ALAMEDA,Local,L,Local,Public,City,City,CITY,CITY,SWP,SWP,450,128,SC,Small Community,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0110016,ALAMEDA POINT,ALAMEDA,Local,L,Local,Public,City,City,CITY,CITY,SWP,SWP,750,349,SC,Small Community,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0110018,SFPUC-PLEASANTON WELLS,ALAMEDA,Local,L,Local,Public,City,City,CITY,CITY,GW,GW,500,1,WH,WholesalerÂ Â,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
