PSWID,SYSTEM_NAME,COUNTY,OWNERSHIP_SDWIS,OWNERSHIP_Corrected,OWNERSHIP_Binary,TYPE_consolidated,SOURCE_SDWIS,Source_Binary,Source_Purchased,POP_TOTAL,LN_POP,CWStype_SDWIS,WQ_REG,VIOLATION_COUNT,COUNT_TCR,TOTAL_VIOLATIONS,INST_CHANGE
CA0202504,MARKLEEVILLE WATER CO.,ALPINE,Private,Private,Nongovernmental,Private,SW,SW,No,25,3.218875825,Community,LPA,0,0,0,NO
CA0300062,HOPE FOUNDATION/MORIAH HEIGHTS,AMADOR,Private,Private,Nongovernmental,Private,GW,GW,No,30,3.401197382,Community,LPA,0,0,0,NO
CA0400001,YOUTH WITH A MISSION-SPRINGS OF LIVING W,BUTTE,Private,Private,Nongovernmental,Private,GW,GW,No,150,5.010635294,Community,LPA,0,0,0,NO
CA0400042,FOREST VILLAGE LLC,BUTTE,Private,Private,Nongovernmental,Private,GW,GW,No,34,3.526360525,Community,LPA,1,0,1,NO
CA0400081,FEATHER RIDGE ESTATES WATER CO,BUTTE,Private,Private,Nongovernmental,Private,GW,GW,No,12,2.48490665,Community,LPA,1,1,2,NO
CA0409183,SIERRA MOON WATER COMPANY,BUTTE,Private,Private,Nongovernmental,Private,GW,GW,No,120,4.787491743,Community,LPA,0,0,0,NO
CA0500027,LILI VALLEY WATER CO.,CALAVERAS,Private,Private,Nongovernmental,Private,GW,GW,No,99,4.59511985,Community,LPA,0,0,0,NO
CA0500091,RITE OF PASSAGE/SIERRA RIDGE,CALAVERAS,Private,Private,Nongovernmental,Private,SW,SW,No,150,5.010635294,Community,LPA,0,1,1,NO
CA0706005,FARRAR PARK PROPERTY OWNERS,CONTRA COSTA,Private,Private,Nongovernmental,Private,GW,GW,No,140,4.941642423,Community,LPA,0,0,0,NO
CA0707501,ANGLER S RANCH #3,CONTRA COSTA,Private,Private,Nongovernmental,Private,GW,GW,No,60,4.094344562,Community,LPA,0,0,0,NO
CA0707517,COLONIA SANTA MARIA,CONTRA COSTA,Private,Private,Nongovernmental,Private,GW,GW,No,32,3.465735903,Community,LPA,0,0,0,NO
CA0707519,DUTCH SLOUGH WATER WORKS,CONTRA COSTA,Private,Private,Nongovernmental,Private,GW,GW,No,49,3.891820298,Community,LPA,0,0,0,NO
CA0707558,HERTZ WATER SYSTEM,CONTRA COSTA,Private,Private,Nongovernmental,Private,GW,GW,No,35,3.555348061,Community,LPA,0,0,0,NO
CA0707569,ANGLERS SUBDIVISION 4,CONTRA COSTA,Private,Private,Nongovernmental,Private,GW,GW,No,210,5.347107531,Community,LPA,0,1,1,NO
CA0707577,RIVERVIEW WATER ASSOCIATION,CONTRA COSTA,Private,Private,Nongovernmental,Private,GW,GW,No,230,5.438079309,Community,LPA,0,0,0,NO
CA0707589,BELLA VISTA WATER SYS,CONTRA COSTA,Private,Private,Nongovernmental,Private,GW,GW,No,93,4.532599493,Community,LPA,0,0,0,NO
CA0707594,CASA MEDANOS WATER SYSTEM,CONTRA COSTA,Private,Private,Nongovernmental,Private,GW,GW,No,45,3.80666249,Community,LPA,0,0,0,NO
CA0707615,DOUBLETREE RANCH WATER SYSTEM,CONTRA COSTA,Private,Private,Nongovernmental,Private,GW,GW,No,49,3.891820298,Community,LPA,22,0,22,NO
CA0707623,WILCOX STATION RANCH,CONTRA COSTA,Private,Private,Nongovernmental,Private,GW,GW,No,90,4.49980967,Community,LPA,0,0,0,NO
CA0800605,WEST PARK PROPERTIES,DEL NORTE,Private,Private,Nongovernmental,Private,GW,GW,No,112,4.718498871,Community,SWRCB-DISTRICT,0,0,0,NO
CA0800861,RESERVATION RANCH,DEL NORTE,Private,Private,Nongovernmental,Private,GW,GW,No,50,3.912023005,Community,SWRCB-DISTRICT,0,0,0,NO
CA0900308,QUINTETTE SERVICE CORP WATER,EL DORADO,Private,Private,Nongovernmental,Private,GW,GW,No,100,4.605170186,Community,LPA,0,1,1,NO
CA0901217,BEAR STATE WATER WORKS,EL DORADO,Private,Private,Nongovernmental,Private,GW,GW,No,100,4.605170186,Community,LPA,0,0,0,NO
CA1000004,BELMONT WATER CORPORATION,FRESNO,Private,Private,Nongovernmental,Private,GW,GW,No,112,4.718498871,Community,SWRCB-DISTRICT,1,0,1,NO
CA1000056,MEADOW LAKES CLUB,FRESNO,Private,Private,Nongovernmental,Private,GW,GW,No,145,4.976733742,Community,SWRCB-DISTRICT,0,0,0,NO
CA1000075,TRACT 1199 WATER SYSTEM,FRESNO,Private,Private,Nongovernmental,Private,GW,GW,No,25,3.218875825,Community,SWRCB-DISTRICT,0,0,0,NO
CA1000199,ALICE MANOR,FRESNO,Private,Private,Nongovernmental,Private,GW,GW,No,46,3.828641396,Community,SWRCB-DISTRICT,2,0,2,NO
CA1000200,RUBYS VALLEY CARE HOME,FRESNO,Private,Private,Nongovernmental,Private,GW,GW,No,75,4.317488114,Community,SWRCB-DISTRICT,0,0,0,NO
CA1000213,HARRIS FARMS/HORSE BARN,FRESNO,Private,Private,Nongovernmental,Private,SW,SW,No,100,4.605170186,Community,SWRCB-DISTRICT,23,0,23,NO
CA1000277,ELM COURT,FRESNO,Private,Private,Nongovernmental,Private,GW,GW,No,64,4.158883083,Community,SWRCB-DISTRICT,0,3,3,NO
CA1000295,KINGS PARK APARTMENTS,FRESNO,Private,Private,Nongovernmental,Private,GW,GW,No,120,4.787491743,Community,SWRCB-DISTRICT,0,0,0,NO
CA1000324,MANNING GARDENS CARE CENTER INC,FRESNO,Private,Private,Nongovernmental,Private,GW,GW,No,144,4.9698133,Community,SWRCB-DISTRICT,0,0,0,NO
CA1000366,SUNNYSIDE CONVALESCENT HOSP,FRESNO,Private,Private,Nongovernmental,Private,GW,GW,No,198,5.288267031,Community,SWRCB-DISTRICT,0,0,0,NO
CA1000369,ZONNEVELD DAIRY - CEDAR,FRESNO,Private,Private,Nongovernmental,Private,GW,GW,No,70,4.248495242,Community,SWRCB-DISTRICT,26,1,27,NO
CA1000377,ST NICHOLAS RANCH & RETREAT,FRESNO,Private,Private,Nongovernmental,Private,GW,GW,No,25,3.218875825,Community,SWRCB-DISTRICT,11,2,13,NO
CA1000407,GEORGE COX WATER SYSTEM,FRESNO,Private,Private,Nongovernmental,Private,GW,GW,No,40,3.688879454,Community,SWRCB-DISTRICT,2,0,2,NO
