PWSID,PWS_Name,Primacy_FINAL,Final_inst_update,Inst_Subtype
CA0800861,RESERVATION RANCH,DISTRICT 01 - KLAMATH,Private - Ancillary,Agricultural_industrial
CA1009051,"CANTUA CREEK VINEYARDS, IV, LLC.",DISTRICT 23 - FRESNO,Private - Ancillary,Agricultural_industrial
CA1009027,HARRIS FARMS HEADQUARTERS,DISTRICT 23 - FRESNO,Private - Ancillary,Agricultural_industrial
CA1009028,HARRIS FARMS SOUTH #101-144,DISTRICT 23 - FRESNO,Private - Ancillary,Agricultural_industrial
CA1000213,HARRIS FARMS/HORSE BARN,DISTRICT 23 - FRESNO,Private - Ancillary,Agricultural_industrial
CA1009078,HARRIS FEEDING COMPANY,DISTRICT 23 - FRESNO,Private - Ancillary,Agricultural_industrial
CA1000627,ZONNEVELD DAIRY - CERINI,DISTRICT 23 - FRESNO,Private - Ancillary,Agricultural_industrial
CA1009023,BRITZ/COLUSA,DISTRICT 23 - FRESNO,Private - Ancillary,Agricultural_industrial
CA1009179,BRITZ/FIVE POINT SYSTEM,DISTRICT 23 - FRESNO,Private - Ancillary,Agricultural_industrial
CA1009232,"CC FARMS, LLC.",DISTRICT 23 - FRESNO,Private - Ancillary,Agricultural_industrial
CA1009147,FARMING D,DISTRICT 23 - FRESNO,Private - Ancillary,Agricultural_industrial
CA1009020,FIVE POINTS RANCH,DISTRICT 23 - FRESNO,Private - Ancillary,Agricultural_industrial
CA1000585,MURRIETA/HERNANDEZ FARMS,DISTRICT 23 - FRESNO,Private - Ancillary,Agricultural_industrial
CA1009039,PAPPAS & CO (MENDOTA),DISTRICT 23 - FRESNO,Private - Ancillary,Agricultural_industrial
CA1009120,RAU DAIRY,DISTRICT 23 - FRESNO,Private - Ancillary,Agricultural_industrial
CA1009222,TERRA LINDA FARMS,DISTRICT 23 - FRESNO,Private - Ancillary,Agricultural_industrial
CA1009214,WESTSIDE HARVESTING,DISTRICT 23 - FRESNO,Private - Ancillary,Agricultural_industrial
CA1200715,GREEN DIAMOND RESOURCE COMPANY - KORBEL,DISTRICT 01 - KLAMATH,Private - Ancillary,Agricultural_industrial
CA1500516,TUT BROTHERS FARM #96,DISTRICT 12 - VISALIA,Private - Ancillary,Agricultural_industrial
CA2701742,CALIFORNIA ORCHARD WS,LPA57 - MONTEREY COUNTY,Private - Ancillary,Agricultural_industrial
CA2704520,WILLIAMS - RC FARMS WS,LPA57 - MONTEREY COUNTY,Private - Ancillary,Agricultural_industrial
CA2801016,HESS WINERY,LPA58 - NAPA COUNTY,Private - Ancillary,Agricultural_industrial
CA3400137,LINCOLN CHAN-HOME RANCH,LPA64 - SACRAMENTO COUNTY,Private - Ancillary,Agricultural_industrial
CA3500511,CASA DE FRUTA ORCHARDS,DISTRICT 05 - MONTEREY,Private - Ancillary,Agricultural_industrial
CA3500930,BENITO VALLEY FARMS,DISTRICT 05 - MONTEREY,Private - Ancillary,Agricultural_industrial
