PWSID,Name,Changed 2018 or later,Changed_enfranchisement?,Administrator appointed before July 2024,Recievorship
CA5403043,Yettem,Yes,No,No,No
CA5400550,Seville,Yes,No,No,No
CA270051,Normco WC,No,No,No,No
CA2702094,BLACKIE RD WS #18,No,No,No,No
CA2701670,LANGLEY/VALLE PACIFICO WS,No,No,No,No
CA2701515,MOSS LANDING HARBOR WS,No,No,No,No
CA2700771,SPRINGFIELD WATER COMPANY,No,No,No,No
CA2700787,VEGA RD WS #01,No,No,No,No
CA2702007,VIERRA ESTATES WS,No,No,No,No
CA3700922,Like Oak springs WS,Yes,Yes,No,No
CA5710011,Wild wings golf com,Yes,Yes,No,No
CA1910147,Sativa,Yes,Yes,No,No
CA5100107,Robbins,Yes,Yes,No,No
CA4810701,Travis AFB,Yes,Yes,No,No
CA2410008,Meadowbrook,No,No,No,No
CA1910241,Mesa Crest,Yes,No,No,No
CA1910020,East Pasadema WC,Yes,No,No,No
CA2702198,Foothill estates WS,No,No,No,No
CA1400005,Owens Valley WC,Yes,Yes,No,No
CA3110043,Tahoe City PUD madden creek,Yes,Yes,No,No
CA3110013,Tahoe City PUD Tahoe cedars,Yes,Yes,No,No
CA5400641,Teviston Community Services District,Yes,Yes,Yes,No
CA4900608,Six Acres Water Company,Yes,Yes,Yes,No
CA1400036,Keeler Community Services District,Yes,Yes,Yes,No
CA5401003,East Orosi CSD,Yes,Yes,Yes,No
CA5400964,Sierra Vista Water Association,Yes,Yes,Yes,No
CA3700924,Lake Morena Views Mutual Water Company,Yes,Yes,Yes,No
CA1500096,Old River Mutual Water Company,Yes,Yes,Yes,No
CA1500344,South Kern Mutual Water Company,Yes,Yes,Yes,No
CA5200657,NorCal Water Works,Yes,Yes,Yes,No
CA1510052,North Edwards Water District,Yes,Yes,Yes,No
CA4900508,Cazadero Water Company,Yes,Yes,Yes,No
CA4900893,West Water Company,Yes,Yes,Yes,No
CA4410001,Big Basin Water Company,Yes,Yes,No,Yes
