PWSID,PWS_Name,Primacy_FINAL,Final_inst_update,Inst_Subtype,SWRCB_LPA,CPUC
CA4310022,GREAT OAKS WC INC,DISTRICT 17 - SANTA CLARA,Investor Owned Utility,Class A,SWRCB,Yes
CA4310011,SAN JOSE WATER,DISTRICT 17 - SANTA CLARA,Investor Owned Utility,Class A,SWRCB,Yes
CA1910039,SAN GABRIEL VALLEY WATER CO.-EL MONTE,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A,SWRCB,Yes
CA1910189,SAN GABRIEL VALLEY WATER CO.-MONTEBELLO,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A,SWRCB,Yes
CA3610041,SAN GABRIEL VALLEY WC - FONTANA,DISTRICT 27 - MOJAVE,Investor Owned Utility,Class A,SWRCB,Yes
CA1910052,CAL/AM WATER COMPANY - BALDWIN HILLS,DISTRICT 07 - HOLLYWOOD,Investor Owned Utility,Class A,SWRCB,Yes
CA1910139,CAL/AM WATER COMPANY - SAN MARINO,DISTRICT 07 - HOLLYWOOD,Investor Owned Utility,Class A,SWRCB,Yes
CA1910186,CAL-AM WATER COMPANY - DUARTE,DISTRICT 07 - HOLLYWOOD,Investor Owned Utility,Class A,SWRCB,Yes
CA1910020,CAL-AM WATER COMPANY - EAST PASADENA,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A,SWRCB,Yes
CA2010013,CAL AM - COARSEGOLD,DISTRICT 11 - MERCED,Investor Owned Utility,Class A,SWRCB,Yes
CA2010014,CAL AM - GOLDSIDE,DISTRICT 11 - MERCED,Investor Owned Utility,Class A,SWRCB,Yes
CA2010007,CAL AM - OAKHURST,DISTRICT 11 - MERCED,Investor Owned Utility,Class A,SWRCB,Yes
CA2010012,CAL AM - RAYMOND,DISTRICT 11 - MERCED,Investor Owned Utility,Class A,SWRCB,Yes
CA2410008,CAL AM - MEADOWBROOK,DISTRICT 11 - MERCED,Investor Owned Utility,Class A,SWRCB,Yes
CA2710006,CAL AM WATER COMPANY - AMBLER PARK,DISTRICT 05 - MONTEREY,Investor Owned Utility,Class A,SWRCB,Yes
CA2701202,CAL AM WATER COMPANY - CHUALAR,DISTRICT 05 - MONTEREY,Investor Owned Utility,Class A,SWRCB,Yes
CA2710004,CAL AM WATER COMPANY - MONTEREY,DISTRICT 05 - MONTEREY,Investor Owned Utility,Class A,SWRCB,Yes
CA2710021,CAL AM WATER COMPANY - TORO,DISTRICT 05 - MONTEREY,Investor Owned Utility,Class A,SWRCB,Yes
CA2710022,CAL AM WATER COMPANY - HIDDEN HILLS,DISTRICT 05 - MONTEREY,Investor Owned Utility,Class A,SWRCB,Yes
CA2702004,CAL AM WATER COMPANY - RALPH LANE,LPA57 - MONTEREY COUNTY,Investor Owned Utility,Class A,LPA,Yes
CA2701257,CAL AM WATER COMPANY - GARRAPATA,LPA57 - MONTEREY COUNTY,Investor Owned Utility,Class A,LPA,Yes
CA3110150,CAL AM - WEST PLACER,DISTRICT 09 - SACRAMENTO,Investor Owned Utility,Class A,SWRCB,Yes
CA3410023,CAL AM - FRUITRIDGE VISTA,DISTRICT 09 - SACRAMENTO,Investor Owned Utility,Class A,SWRCB,Yes
CA3410047,CAL AM - WALNUT GROVE,DISTRICT 09 - SACRAMENTO,Investor Owned Utility,Class A,SWRCB,Yes
CA3410031,CAL AM - ANTELOPE,DISTRICT 09 - SACRAMENTO,Investor Owned Utility,Class A,SWRCB,Yes
CA3410045,CAL AM - ARDEN,DISTRICT 09 - SACRAMENTO,Investor Owned Utility,Class A,SWRCB,Yes
CA3410012,CAL AM - ISLETON,DISTRICT 09 - SACRAMENTO,Investor Owned Utility,Class A,SWRCB,Yes
CA3410013,CAL AM - LINCOLN OAKS,DISTRICT 09 - SACRAMENTO,Investor Owned Utility,Class A,SWRCB,Yes
CA3410017,CAL AM - PARKWAY,DISTRICT 09 - SACRAMENTO,Investor Owned Utility,Class A,SWRCB,Yes
CA3410010,CAL AM - SUBURBAN ROSEMONT,DISTRICT 09 - SACRAMENTO,Investor Owned Utility,Class A,SWRCB,Yes
CA3710001,CAL-AM WATER CORONADO,DISTRICT 14 - SAN DIEGO,Investor Owned Utility,Class A,SWRCB,Yes
CA4210700,"AMERICAN WATER O&M, LLC - VSFB",DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A,SWRCB,Yes
CA4910023,CALIFORNIA-AMERICAN LARKFIELD (PUC),DISTRICT 18 - SONOMA,Investor Owned Utility,Class A,SWRCB,Yes
CA4910024,CALIFORNIA-AMERICAN GEYSERVILLE (PUC),DISTRICT 18 - SONOMA,Investor Owned Utility,Class A,SWRCB,Yes
CA5610040,CAL AMERICAN WATER CO,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A,SWRCB,Yes
