PWSID,PWS_Name,Counties_Served,Primacy_FINAL,Final_inst_update,Inst_Subtype,Vote_structure,justin_notes,Notes,,,,,,,,,
CA3710036,BORREGO WD,San Diego,DISTRICT 26 - IMPERIAL,California Water District,,Full,,,,,,,,,,,
CA4910029,CAMP MEEKER WATER SYSTEM,Sonoma,DISTRICT 18 - SONOMA,California Water District,,Full,,2019 MSR confirms is CA water district,,,,,,,,,
CA3700074,CUYAMACA WATER DISTRICT,San Diego,DISTRICT 26 - IMPERIAL,California Water District,,Full,,,,,,,,,,,
CA3010079,EL TORO WATER DISTRICT,Orange,DISTRICT 08 - SANTA ANA,California Water District,,Full,, ,,,,,,,,,
CA3010092,IRVINE RANCH WATER DISTRICT,Orange,DISTRICT 08 - SANTA ANA,California Water District,,Full,,,,,,,,,,,
CA3010073,MOULTON NIGUEL WATER DISTRICT,Orange,DISTRICT 08 - SANTA ANA,California Water District,,Full,,,,,,,,,,,
CA5810006,NORTH YUBA WATER DISTRICT,Yuba,DISTRICT 21 - VALLEY,California Water District,,Full,,,,,,,,,,,
CA3310038,RANCHO CALIFORNIA WATER DISTRICT,Riverside,DISTRICT 20 - RIVERSIDE,California Water District,,Full,,,,,,,,,,,
CA1510016,RAND COMMUNITIES WATER DISTRICT,Kern,DISTRICT 19 - TEHACHAPI,California Water District,,Full,,,,,,,,,,,
CA5210005,RIO ALTO WATER DISTRICT,Tehama,DISTRICT 21 - VALLEY,California Water District,,Full,,,,,,,,,,,
CA3010101,SANTA MARGARITA WATER DISTRICT,Orange,DISTRICT 08 - SANTA ANA,California Water District,,Full,,,,,,,,,,,
CA1910234,WALNUT VALLEY WATER DISTRICT,Los Angeles,DISTRICT 16 - CENTRAL,California Water District,,Full,,,,,,,,,,,
CA5010039,WESTERN HILLS WATER DISTRICT/DIABLO GRAN,Stanislaus,DISTRICT 10 - STOCKTON,California Water District,,Full,Recently changed over from landowner,,,,,,,,,,
CA3701837,WYNOLA WATER DISTRICT,San Diego,DISTRICT 26 - IMPERIAL,California Water District,,Full,,,,,,,,,,,
CA4510014,BELLA VISTA WATER DISTRICT,Shasta,DISTRICT 02 - LASSEN,California Water District,,Limited,,,,,,,,,,,
CA3310040,FERN VALLEY WD,Riverside,DISTRICT 20 - RIVERSIDE,California Water District,,Limited,,,,,,,,,,,
CA3301775,HIGH VALLEYS WATER DISTRICT,Riverside,DISTRICT 20 - RIVERSIDE,California Water District,,Limited,,,,,,,,,,,
CA2310012,IRISH BEACH WATER DISTRICT,Mendocino,DISTRICT 03 - MENDOCINO,California Water District,,Limited,,,,,,,,,,,
CA0400014,LAKE MADRONE WATER DISTRICT,Butte,LPA34 - BUTTE COUNTY,California Water District,,Limited,,,,,,,,,,,
CA3110022,MCKINNEY WATER DISTRICT,Placer,DISTRICT 02 - LASSEN,California Water District,,Limited,,,,,,,,,,,
CA1000345,PANOCHE WATER DISTRICT,Fresno,DISTRICT 23 - FRESNO,California Water District,,Limited,,,,,,,,,,,
CA2400209,SAN LUIS HILLS,Merced,DISTRICT 11 - MERCED,California Water District,,Limited,Assumes this is San Luis Water District,SLWD - SAN LUIS HILLS; MSR says they ar emostly ag but provide water to san luis hills community. is a CA water district. https://www.lafcomerced.org/pdfs/MunicipalServiceReviews/Ag%20Irrigation%20Service%20Providers%202022.pdf,,,,,,,,,
CA2810014,SPANISH FLAT WATER DISTRICT,Napa,LPA58 - NAPA COUNTY,California Water District,,Limited,,,,,,,,,,,
CA4500303,TUCKER OAKS EAST WATER DISTRICT,Shasta,LPA75 - SHASTA COUNTY,California Water District,,Limited,,,,,,,,,,,
CA2810009,BERRYESSA PINES WATER SYSTEM,Napa,LPA58 - NAPA COUNTY,California Water District,,Unknown,"I can't find anything specific about this water system. Napa has no MSRs, and they don't have a website. The Registrar doesn't register any votes.",,,,,,,,,,
CA1510052,NORTH EDWARDS WD,Kern,DISTRICT 19 - TEHACHAPI,California Water District,,Unknown,Can't find this one. No available ACFR. Kern LAFCO does not make MSRs publicly available (!) and webstie doesn't even list Board members. Doesn't show up in any recent elections.,,,,,,,,,,
CA3910023,OAKWOOD LAKE WATER DISTRICT-SUBDIVISION,San Joaquin,DISTRICT 10 - STOCKTON,California Water District,,Unknown,Can't find this one. Website and ACFR are ambiguous except to say they are elected. San Joaquin LAFCO does not have an MSR for OLWD,,,,,,,,,,
CA1503226,QVWD-WEST & EAST COMBINED WATER SYSTEM,Kern,DISTRICT 19 - TEHACHAPI,California Water District,,Unknown,Unclear. Not logged votes. I suspect landowners but cannot prove.,,,,,,,,,,
CA2010016,RIVERSTONE/ROOTCREEK WATER DISTRICT,Madera,DISTRICT 11 - MERCED,California Water District,,Unknown,"I can't find anything on this one, not listed on website or MSR ('elected according to CA law concerning CA Water Districts'), can't find audit",,,,,,,,,,
CA2700728,SAN ARDO WD,Monterey,LPA57 - MONTEREY COUNTY,California Water District,,Unknown,Hard to tell. SAWD has no website at all. MSR states that in practice people have to be appointed anyways since no one ever runs.,,,,,,,,,,
CA3310074,TEMESCAL VALLEY WATER DISTRICT,Riverside,DISTRICT 20 - RIVERSIDE,California Water District,,Unknown,Probably direct but not sure,,,,,,,,,,
CA1700579,VILLA BLUE ESTATES WATER DISTRICT,Lake,DISTRICT 03 - MENDOCINO,California Water District,,Unknown,"No website, no MSR (!), no contested elections",,,,,,,,,,
CA3310002,BEAUMONT CHERRY VALLEY WD,Riverside,DISTRICT 20 - RIVERSIDE,Irrigation District,,Full,,,,,,,,,,,
CA3410004,CARMICHAEL WATER DISTRICT,Sacramento,DISTRICT 09 - SACRAMENTO,Irrigation District,,Full,,,,,,,,,,,
CA3410006,CITRUS HEIGHTS WATER DISTRICT,Sacramento,DISTRICT 09 - SACRAMENTO,Irrigation District,,Full,,,,,,,,,,,
CA0410003,DURHAM IRRIGATION DISTRICT,Butte,DISTRICT 21 - VALLEY,Irrigation District,,Full,,,,,,,,,,,
CA0910001,EL DORADO ID - MAIN,El Dorado,DISTRICT 09 - SACRAMENTO,Irrigation District,,Full,,,,,,,,,,,
CA0910018,EL DORADO ID - OUTINGDALE,El Dorado,DISTRICT 09 - SACRAMENTO,Irrigation District,,Full,,,,,,,,,,,
CA0910017,EL DORADO ID - STRAWBERRY,El Dorado,DISTRICT 09 - SACRAMENTO,Irrigation District,,Full,,,,,,,,,,,
CA3410009,FAIR OAKS WATER DISTRICT,Sacramento,DISTRICT 09 - SACRAMENTO,Irrigation District,,Full,,,,,,,,,,,
CA3710010,HELIX WATER DISTRICT,San Diego,DISTRICT 14 - SAN DIEGO,Irrigation District,,Full,,,,,,,,,,,
CA1300588,IID VILLAGE,Imperial,LPA43 - IMPERIAL COUNTY,Irrigation District,,Full,,,,,,,,,,,
CA1910035,KINNELOA IRRIGATION DIST.,Los Angeles,DISTRICT 07 - HOLLYWOOD,Irrigation District,,Full,,,,,,,,,,,
CA3710013,LAKESIDE WD,San Diego,DISTRICT 14 - SAN DIEGO,Irrigation District,,Full,,Is an irrigation district due to original formation but now only provides drinking water,,,,,,,,,
CA5410007,LSID - TONYVILLE,Tulare,DISTRICT 12 - VISALIA,Irrigation District,,Full,,,,,,,,,,,
CA5410036,LSID-STRATHMORE SYSTEM,Tulare,DISTRICT 12 - VISALIA,Irrigation District,,Full,,,,,,,,,,,
